Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2014-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-01-01;.2;1004.895833;23.3625;34.2;29.825;26.1;68.791667;55;7.2;1.908333;
2014-01-02;0;1004.695833;22.633333;33.4;28.804167;24.7;69.916667;52;11.5;2.841667;
2014-01-03;0;1004.341667;24.2125;32.9;29.416667;26.9;73.916667;62;8;1.879167;
2014-01-04;0;1008.666667;24.816667;31.9;28.975;26.7;78.666667;60;12.6;3.383333;
2014-01-05;0;1011.470833;23.0875;34.4;28.1875;24.7;74.833333;55;7.9;4.5;
2014-01-06;0;1011.3125;22.416667;34.2;27.754167;24.5;73.791667;52;13.5;4.866667;
2014-01-07;0;1011.041667;20.283333;32.6;26.054167;23.8;71.375;53;12.8;4.341667;
2014-01-08;0;1008.725;19.616667;34.7;26.820833;22.8;65.875;35;9.6;2.479167;
2014-01-09;0;1008.220833;20.558333;30.6;26.654167;23.6;69.666667;54;7.2;1.870833;
2014-01-10;0;1008.933333;20.595833;29.6;25.104167;22.8;76.416667;61;11.3;2.504167;
2014-01-11;0;1008.579167;20.470833;29.4;24.879167;21.5;76.75;62;10.4;2.1125;
2014-01-12;0;1010.775;21;30.2;24.941667;20.9;79.166667;64;8.6;1.891667;
2014-01-13;0;1012.0875;20.858333;29.7;24.645833;21.8;80.291667;61;11.6;2.3125;
2014-01-14;0;1010.979167;20.195833;30.1;24.370833;20.4;78;59;15.5;2.291667;
2014-01-15;0;1008.695833;21.391667;32.1;26.175;21.5;75.291667;57;7;1.675;
2014-01-16;0;1008.8;21.533333;31.8;25.533333;22.3;79.5;58;13.1;1.720833;
2014-01-17;47.6;1009.9625;20.679167;28.5;24.466667;20.7;79.708333;67;9.8;2.291667;
2014-01-18;1.4;1010.775;21.725;30.5;25.991667;23.4;77.958333;61;6.6;1.929167;
2014-01-19;0;1009.620833;21.704167;32.4;26.675;24.2;74.708333;61;6.5;1.975;
2014-01-20;0;1008.9;22;32.7;27.25;24;73.625;57;7.4;2.354167;
2014-01-21;0;1008.491667;22.195833;31;26.9625;24.5;75.375;63;7.6;2.445833;
2014-01-22;0;1008.2625;22.625;31.9;27.083333;23.8;77.041667;57;6.5;1.758333;
2014-01-23;0;1008.291667;22.770833;32.8;27.770833;24.1;74.708333;57;5.4;1.566667;
2014-01-24;0;1006.541667;22.725;32.6;28.525;25.5;71.166667;57;9.2;2.666667;
2014-01-25;0;1005.895833;22.2;33.2;28.316667;25.1;69.791667;55;8.7;2.133333;
2014-01-26;0;1009.033333;23.1625;34;28.241667;24.4;75.041667;58;6.9;2.279167;
2014-01-27;0;1011.145833;23.0875;34.4;28.808333;25.6;71.75;57;7;2.454167;
2014-01-28;0;1011.166667;22.070833;33.5;28.3875;25.9;69.333333;54;7.9;2.775;
2014-01-29;0;1011.066667;20.304167;30.2;26.058333;24;71.041667;55;7.9;1.891667;
2014-01-30;0;1010.916667;20.020833;29.7;24.541667;21;77.041667;56;8.1;2.55;
2014-01-31;0;1010.158333;19.195833;31.9;25.458333;21.4;69.291667;43;8.9;2.541667;
2014-02-01;0;1009.383333;19.358333;30.5;24.8;20.5;72.291667;54;7.3;2.0625;
2014-02-02;0;1008.429167;19.695833;29.1;23.8875;20.4;77.75;60;14.9;2.3625;
2014-02-03;0;1007.979167;19.670833;29.8;23.85;20.3;78;58;11.4;2.254167;
2014-02-04;0;1008.420833;19.3625;28.8;24.420833;20.3;73.916667;56;8.5;2.179167;
2014-02-05;0;1009.279167;18.716667;28.2;24.033333;20.1;72.916667;56;12.2;2.533333;
2014-02-06;0;1009.766667;18.308333;29.6;24.858333;21;67.541667;50;14.2;2.904167;
2014-02-07;0;1009.7;19;29.5;24.683333;20.7;71.25;54;12.8;2.733333;
2014-02-08;0;1008.241667;18.629167;30.6;26.2875;21.2;63.208333;50;10.5;2.525;
2014-02-09;0;1008.154167;18.2875;33.8;25.9875;21.1;63.541667;38;9.3;2.3625;
2014-02-10;0;1008.966667;18.683333;31.2;25.283333;20.9;67.375;49;8.8;1.995833;
2014-02-11;0;1009.416667;18.3375;29.6;24.033333;20.3;70.875;50;9.1;1.804167;
2014-02-12;0;1007.229167;17.5125;30.3;24.4625;20.3;65.75;48;13.6;2.270833;
2014-02-13;0;1004.416667;18.191667;36.7;26.4;21.8;61.75;30;13.5;2.833333;
2014-02-14;0;1005.7875;19.3625;28.9;24.495833;20;73.5;58;9.4;2.329167;
2014-02-15;0;1009.3875;20.220833;28.3;24.320833;22;78.166667;60;10.3;3.141667;
2014-02-16;0;1010.220833;21.220833;26.8;23.625;21.8;86.625;73;6.3;1.304167;
2014-02-17;15;1010.383333;21.3;28.5;23.6875;21.8;86.666667;72;7.4;1.554167;
2014-02-18;3.4;1011.429167;20.958333;28.9;24.0875;21.4;83.458333;63;7.2;1.595833;
2014-02-19;3.4;1011.641667;20.683333;27.4;23.8125;21.2;82.916667;65;7.4;1.458333;
2014-02-20;.4;1010.758333;20.120833;29.6;24.370833;21.4;77.5;60;6.5;1.204167;
2014-02-21;0;1009.541667;20.458333;29;25.141667;22.1;75.75;61;7.3;1.758333;
2014-02-22;0;1009.295833;19.904167;32.9;26.558333;23.3;67.375;38;7.3;1.954167;
2014-02-23;0;1009.279167;20.520833;30.6;27.091667;23.7;67.541667;57;6.6;1.65;
2014-02-24;0;1009.366667;19.820833;29.4;25.725;23.9;70.541667;55;8.7;2.816667;
2014-02-25;0;1009.708333;20.7625;30;24.670833;21;80.041667;58;8.4;1.454167;
2014-02-26;0;1008.379167;19.633333;29.9;24.85;22;73.5;55;8.2;1.9875;
2014-02-27;0;1004.625;19.120833;34.4;27.0375;21.8;62.833333;38;8.8;2.245833;
2014-02-28;0;1005.541667;20.616667;29.4;25.033333;21.3;76.916667;58;14.7;3.345833;
2014-03-01;.8;1006.0625;20.55;29.7;25.154167;22.6;75.958333;56;13.5;2.245833;
2014-03-02;.2;1008.425;21.279167;29.8;24.629167;22.7;82.375;57;5.4;1.5625;
2014-03-03;.2;1010.6;21.745833;31.1;24.608333;22.3;84.708333;62;4.9;1.516667;
2014-03-04;0;1011.075;20.904167;31.5;24.745833;22.6;79.666667;51;10.5;1.716667;
2014-03-05;0;1009.895833;19.870833;30.1;24.929167;22.6;73.916667;54;7.9;1.925;
2014-03-06;0;1007.766667;20.695833;28.5;25.341667;22.1;75.875;62;9.2;1.754167;
2014-03-07;1.6;1007.754167;21.308333;28.3;24.879167;22.4;80.916667;65;7.1;1.804167;
2014-03-08;16.4;1007.954167;21.0375;24.2;22.254167;21.5;92.791667;86;5.4;1.258333;
2014-03-09;16;1008.579167;21.354167;28.6;23.629167;20.6;87.25;71;3.9;1.254167;
2014-03-10;0;1008.583333;21.904167;28.3;24.9625;22.6;83.5;72;8.8;1.933333;
2014-03-11;.2;1007.895833;20.920833;30.3;26.366667;23.9;72.25;57;9;2.629167;
2014-03-12;0;1011.108333;21.275;28.3;25.35;23.4;78.416667;69;7.5;2.125;
2014-03-13;0;1012.341667;21.420833;28.7;24.420833;22.2;83.75;69;9.1;1.695833;
2014-03-14;0;1010.729167;20.770833;29;25.366667;22.5;75.833333;64;9.8;1.85;
2014-03-15;0;1009.116667;19.75;28.3;25.229167;22.3;71.916667;63;6.4;1.908333;
2014-03-16;0;1007.933333;19.216667;34.2;26.4125;22.5;65.375;38;7.5;2.3375;
2014-03-17;0;1008.333333;18.3125;29.8;25.679167;22.6;64.083333;51;8.3;2.191667;
2014-03-18;0;1008.408333;18.4625;29.3;25.775;21.8;64.583333;52;9.7;1.995833;
2014-03-19;0;1007.5;18.741667;28.3;23.929167;20.1;73.125;57;4;1.5375;
2014-03-20;0;1004.5625;19.4;36.1;27.316667;22.1;63.541667;33;7.4;1.6875;
2014-03-21;0;1005.433333;22.029167;35.6;27.958333;25;70.75;44;9.2;2.0375;
2014-03-22;3.4;1008.541667;22.566667;29.5;26.408333;23.7;79.791667;65;19.7;3.358333;
2014-03-23;19.4;1012.658333;21.3125;26.4;24.129167;22.3;84.375;76;11.8;4.4375;
2014-03-24;6;1014.891667;18.3375;25.8;23.875;22;71.375;59;7;1.725;
2014-03-25;.6;1015.3375;19.320833;27.9;24;22.3;75.416667;61;10.4;2.083333;
2014-03-26;8.8;1014.9375;21.395833;28.7;24.291667;21.7;84.5;66;7.9;1.8375;
2014-03-27;1;1013.691667;21.854167;28.3;24.825;22.7;83.916667;67;5.2;1.841667;
2014-03-28;0;1012.354167;21.7625;31.2;25.458333;23;80.458333;62;8.4;2.45;
2014-03-29;0;1011.1;21.579167;31.2;25.554167;23;79.041667;64;9.8;2.695833;
2014-03-30;0;1010.2;21.2625;31;25.654167;23.3;77.125;54;10.3;3.154167;
2014-03-31;0;1010.416667;21.708333;30.4;25.25;23.2;80.875;63;5.5;1.4;
