mes_notificacao;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Janeiro;-;1504;2530;16669;1513;1112;1419;1011;75;78;1207
Fevereiro;-;1018;3332;16497;1372;1520;1193;1010;158;236;2832
Marco;-;816;9687;17427;1638;2656;2949;870;334;913;6756
Abril;-;775;14245;18464;1314;2967;7295;499;644;1701;7671
Maio;-;807;14702;10260;1424;2042;10303;300;457;3066;7981
Junho;-;557;8415;3662;833;1139;4423;157;382;1765;5977
Julho;-;407;3885;1934;602;941;1965;154;229;901;1044
Agosto;-;382;2933;885;434;583;751;118;167;603;-
Setembro;-;381;1842;565;336;329;539;111;113;376;-
Outubro;-;467;1521;487;447;405;416;110;68;450;-
Novembro;-;307;2621;721;483;448;477;127;88;461;-
Dezembro;52;439;7953;1045;639;775;546;114;133;535;-
